,total_bill,tip,sex,smoker,day,time,size,price_per_person,Payer Name,CC Number,Payment ID,tip%
62,11.02,1.98,Male,Yes,Sat,Dinner,2,5.51,Joseph Hart,180046232326178,Sat2265,17.96733212341198
63,18.29,3.76,Male,Yes,Sat,Dinner,4,4.57,Chad Hart,580171498976,Sat4178,20.55768179332969
64,17.59,2.64,Male,No,Sat,Dinner,3,5.86,Michael Johnson,2222114458088108,Sat1667,15.008527572484368
65,20.08,3.15,Male,No,Sat,Dinner,3,6.69,Justin Dixon,180021262464926,Sat6840,15.687250996015937
66,16.45,2.47,Female,No,Sat,Dinner,2,8.22,Rachel Vaughn,3569262692675583,Sat4750,15.01519756838906
67,3.07,1.0,Female,Yes,Sat,Dinner,1,3.07,Tiffany Brock,4359488526995267,Sat3455,32.57328990228013
68,20.23,2.01,Male,No,Sat,Dinner,2,10.12,Mr. Travis Bailey Jr.,60406789937,Sat561,9.935739001482945
69,15.01,2.09,Male,Yes,Sat,Dinner,2,7.5,Adam Hall,4700924377057571,Sat855,13.924050632911392
70,12.02,1.97,Male,No,Sat,Dinner,2,6.01,Max Brown,213139760497718,Sat2100,16.38935108153078
71,17.07,3.0,Female,No,Sat,Dinner,3,5.69,Teresa Fisher,5442222963796367,Sat3469,17.57469244288225
72,26.86,3.14,Female,Yes,Sat,Dinner,2,13.43,Victoria Obrien MD,4216245673726,Sat1967,11.69024571854058
73,25.28,5.0,Female,Yes,Sat,Dinner,2,12.64,Julie Holmes,5418689346409571,Sat6065,19.77848101265823
74,14.73,2.2,Female,No,Sat,Dinner,2,7.36,Ashley Harris,501828723483,Sat6548,14.935505770536322
75,10.51,1.25,Male,No,Sat,Dinner,2,5.26,Kenneth Hayes,213142079731108,Sat5056,11.893434823977165
76,17.92,3.08,Male,Yes,Sat,Dinner,2,8.96,Mark Smith,676188485350,Sat9908,17.1875
77,27.2,4.0,Male,No,Thur,Lunch,4,6.8,John Davis,30344778738589,Thur4924,14.705882352941178
78,22.76,3.0,Male,No,Thur,Lunch,2,11.38,Chris Hahn,3591887177014031,Thur2863,13.181019332161686
79,17.29,2.71,Male,No,Thur,Lunch,2,8.64,Brian Diaz,4759290988169738,Thur9501,15.6737998843262
80,19.44,3.0,Male,Yes,Thur,Lunch,2,9.72,Louis Torres,38848369968464,Thur6453,15.432098765432098
81,16.66,3.4,Male,No,Thur,Lunch,2,8.33,William Martin,4550549048402707,Thur8232,20.408163265306122
82,10.07,1.83,Female,No,Thur,Lunch,1,10.07,Julie Moody,630413282843,Thur4909,18.17279046673287
83,32.68,5.0,Male,Yes,Thur,Lunch,2,16.34,Daniel Murphy,5356177501009133,Thur8801,15.299877600979192
84,15.98,2.03,Male,No,Thur,Lunch,2,7.99,Jason Jones,4442984204923315,Thur1944,12.703379224030037
85,34.83,5.17,Female,No,Thur,Lunch,4,8.71,Shawna Cook,6011787464177340,Thur7972,14.843525696238874
86,13.03,2.0,Male,No,Thur,Lunch,2,6.52,Derek Thomas,213161022097557,Thur6793,15.349194167306218
87,18.28,4.0,Male,No,Thur,Lunch,2,9.14,Donald Williams,5363745772301404,Thur3636,21.88183807439825
88,24.71,5.85,Male,No,Thur,Lunch,2,12.36,Roger Taylor,4410248629955,Thur9003,23.674625657628486
89,21.16,3.0,Male,No,Thur,Lunch,2,10.58,Keith Lewis,4356005144080422,Thur6273,14.177693761814744
90,28.97,3.0,Male,Yes,Fri,Dinner,2,14.48,Daniel Mason,3597456900644078,Fri4175,10.355540214014498
91,22.49,3.5,Male,No,Fri,Dinner,2,11.24,Earl Horn,6011849326227398,Fri5700,15.562472209871055
92,5.75,1.0,Female,Yes,Fri,Dinner,2,2.88,Leah Ramirez,3508911676966392,Fri3780,17.391304347826086
93,16.32,4.3,Female,Yes,Fri,Dinner,2,8.16,Natalie Nguyen,5181236182893396,Fri6963,26.348039215686274
94,22.75,3.25,Female,No,Fri,Dinner,2,11.38,Jamie Garza,676318332068,Fri2318,14.285714285714285
95,40.17,4.73,Male,Yes,Fri,Dinner,4,10.04,Aaron Bentley,180026611638690,Fri9628,11.77495643515061
96,27.28,4.0,Male,Yes,Fri,Dinner,2,13.64,Eric Carter,4563054452787961,Fri3159,14.662756598240467
97,12.03,1.5,Male,Yes,Fri,Dinner,2,6.02,Eric Herrera,580116092652,Fri9268,12.468827930174564
98,21.01,3.0,Male,Yes,Fri,Dinner,2,10.5,Michael Li,4831801127457917,Fri144,14.27891480247501
99,12.46,1.5,Male,No,Fri,Dinner,2,6.23,Edward Carter,347435564751626,Fri5575,12.03852327447833
100,11.35,2.5,Female,Yes,Fri,Dinner,2,5.68,Lori Lynch,38558279384492,Fri4106,22.026431718061676
101,15.38,3.0,Female,Yes,Fri,Dinner,2,7.69,Tiffany Colon,6011012799432041,Fri8382,19.505851755526656
102,44.3,2.5,Female,Yes,Sat,Dinner,3,14.77,Heather Cohen,379771118886604,Sat6240,5.643340857787811
103,22.42,3.48,Female,Yes,Sat,Dinner,2,11.21,Kathleen Hawkins,348009865484721,Sat1015,15.521855486173058
104,20.92,4.08,Female,No,Sat,Dinner,2,10.46,Gabrielle Frederick,4013010878990106,Sat3194,19.50286806883365
105,15.36,1.64,Male,Yes,Sat,Dinner,2,7.68,David Price,4029957452720,Sat5106,10.677083333333332
106,20.49,4.06,Male,Yes,Sat,Dinner,2,10.24,Karl Mcdaniel,180024452771522,Sat7865,19.814543679843826
107,25.21,4.29,Male,Yes,Sat,Dinner,2,12.6,Jason Mullen,4738781782868,Sat5196,17.017056723522412
108,18.24,3.76,Male,No,Sat,Dinner,2,9.12,Steven Grant,4112810433473856,Sat6376,20.614035087719298
109,14.31,4.0,Female,Yes,Sat,Dinner,2,7.16,Amanda Anderson,375638820334211,Sat2614,27.952480782669458
110,14.0,3.0,Male,No,Sat,Dinner,2,7.0,James Sanchez,345243048851323,Sat6801,21.428571428571427
111,7.25,1.0,Female,No,Sat,Dinner,1,7.25,Terri Jones,3559221007826887,Sat4801,13.793103448275861
112,38.07,4.0,Male,No,Sun,Dinner,3,12.69,Jeff Lopez,3572865915176463,Sun591,10.506960861570791
113,23.95,2.55,Male,No,Sun,Dinner,2,11.98,John Joyce,6565964211060570,Sun1885,10.647181628392484
114,25.71,4.0,Female,No,Sun,Dinner,3,8.57,Katie Smith,5400160161311292,Sun6492,15.558148580318942
115,17.31,3.5,Female,No,Sun,Dinner,2,8.65,Kayla Stone,379494319310858,Sun8746,20.219526285384173
116,29.93,5.07,Male,No,Sun,Dinner,4,7.48,Shawn Blake,4689079711213722,Sun22,16.93952555963916
117,10.65,1.5,Female,No,Thur,Lunch,2,5.32,Linda Zhang,3560509622598239,Thur9593,14.084507042253522
118,12.43,1.8,Female,No,Thur,Lunch,2,6.22,Dr. Caroline Tucker,502047186908,Thur8084,14.481094127111827
119,24.08,2.92,Female,No,Thur,Lunch,4,6.02,Melanie Jordan,676212062720,Thur8063,12.12624584717608
120,11.69,2.31,Male,No,Thur,Lunch,2,5.84,Kenneth Goodman,4891259691010,Thur8289,19.760479041916167
121,13.42,1.68,Female,No,Thur,Lunch,2,6.71,Laura Garcia,5181484390945653,Thur2158,12.518628912071533
122,14.26,2.5,Male,No,Thur,Lunch,2,7.13,Perry Garcia,180034646320219,Thur3579,17.53155680224404
123,15.95,2.0,Male,No,Thur,Lunch,2,7.98,Christopher Lang,4820629318698319,Thur1992,12.539184952978058
124,12.48,2.52,Female,No,Thur,Lunch,2,6.24,Jordan Diaz,4472778228206399,Thur208,20.192307692307693
125,29.8,4.2,Female,No,Thur,Lunch,6,4.97,Angela Sanchez,503857080488,Thur3948,14.093959731543624
126,8.52,1.48,Male,No,Thur,Lunch,2,4.26,Mario Bradshaw,4524404353861811,Thur6719,17.370892018779344
127,14.52,2.0,Female,No,Thur,Lunch,2,7.26,Jessica Simmons,213102478792200,Thur1512,13.774104683195592
128,11.38,2.0,Female,No,Thur,Lunch,2,5.69,Christine Perkins,3548391118913991,Thur8551,17.57469244288225
129,22.82,2.18,Male,No,Thur,Lunch,3,7.61,Raymond Torres,4855776744024,Thur9424,9.55302366345311
130,19.08,1.5,Male,No,Thur,Lunch,2,9.54,Seth Sexton,213113680829581,Thur1446,7.8616352201257875
131,20.27,2.83,Female,No,Thur,Lunch,2,10.14,Ashley Burke,5394652998970066,Thur9005,13.961519486926493
132,11.17,1.5,Female,No,Thur,Lunch,2,5.58,Taylor Gonzalez,6011990685390011,Thur7783,13.428827215756492
133,12.26,2.0,Female,No,Thur,Lunch,2,6.13,Kaitlin Wolf,676348318145,Thur1561,16.31321370309951
134,18.26,3.25,Female,No,Thur,Lunch,2,9.13,Karen Rodriguez,4952604748911,Thur75,17.798466593647316
135,8.51,1.25,Female,No,Thur,Lunch,2,4.26,Rebecca Harris,4320272020376174,Thur6600,14.688601645123384
136,10.33,2.0,Female,No,Thur,Lunch,2,5.16,Donna Kelly,180048553626376,Thur1393,19.36108422071636
137,14.15,2.0,Female,No,Thur,Lunch,2,7.08,Vanessa Morris,213189344156819,Thur3890,14.13427561837456
138,16.0,2.0,Male,Yes,Thur,Lunch,2,8.0,Jason Burgess,3561461821942363,Thur2710,12.5
139,13.16,2.75,Female,No,Thur,Lunch,2,6.58,Lindsey Meyer,676239597203,Thur6245,20.89665653495441
140,17.47,3.5,Female,No,Thur,Lunch,2,8.74,Kayla Rios,5233918213804470,Thur3906,20.034344590726963
141,34.3,6.7,Male,No,Thur,Lunch,6,5.72,Steven Carlson,3526515703718508,Thur1025,19.533527696793005
142,41.19,5.0,Male,No,Thur,Lunch,5,8.24,Eric Andrews,4356531761046453,Thur3621,12.138868657441128
143,27.05,5.0,Female,No,Thur,Lunch,6,4.51,Regina Jones,4311048695487,Thur6179,18.484288354898336
144,16.43,2.3,Female,No,Thur,Lunch,2,8.22,Linda Jones,6542729219645658,Thur9002,13.998782714546559
145,8.35,1.5,Female,No,Thur,Lunch,2,4.18,Amy Young,4285454264477,Thur9331,17.964071856287426
146,18.64,1.36,Female,No,Thur,Lunch,3,6.21,Kelly Estrada,60463302327,Thur3941,7.296137339055794
147,11.87,1.63,Female,No,Thur,Lunch,2,5.94,Annette Cunningham,675937746864,Thur4780,13.732097725358045
148,9.78,1.73,Male,No,Thur,Lunch,2,4.89,David Stewart,3578014604116399,Thur7276,17.68916155419223
149,7.51,2.0,Male,No,Thur,Lunch,2,3.76,Daniel Robbins,4823139288341889,Thur6321,26.63115845539281
150,14.07,2.5,Male,No,Sun,Dinner,2,7.04,Luke Rice,4813617017359506,Sun8863,17.768301350390903
151,13.13,2.0,Male,No,Sun,Dinner,2,6.56,Jason Arnold,3571825125296106,Sun2127,15.232292460015232
152,17.26,2.74,Male,No,Sun,Dinner,3,5.75,Gregory Smith,4292362333741,Sun5205,15.874855156431053
153,24.55,2.0,Male,No,Sun,Dinner,4,6.14,Todd Patterson,4416804908942159,Sun8670,8.146639511201629
154,19.77,2.0,Male,No,Sun,Dinner,4,4.94,James Smith,213169731428229,Sun5814,10.116337885685383
155,29.85,5.14,Female,No,Sun,Dinner,5,5.97,Madison Wilson,4210875236164664,Sun9176,17.219430485762143
156,48.17,5.0,Male,No,Sun,Dinner,6,8.03,Ryan Gonzales,3523151482063321,Sun7518,10.379904504878555
157,25.0,3.75,Female,No,Sun,Dinner,4,6.25,Laura Robles,213158685144262,Sun7015,15.0
158,13.39,2.61,Female,No,Sun,Dinner,2,6.7,Ashley Boyd,3571088058115021,Sun982,19.49215832710978
159,16.49,2.0,Male,No,Sun,Dinner,4,4.12,Christopher Soto,30501814271434,Sun1781,12.128562765312312
160,21.5,3.5,Male,No,Sun,Dinner,4,5.38,Travis Gonzalez,3527668419764685,Sun245,16.27906976744186
161,12.66,2.5,Male,No,Sun,Dinner,2,6.33,Brandon Oconnor,4406882156920533,Sun5879,19.747235387045812
162,16.21,2.0,Female,No,Sun,Dinner,3,5.4,Jennifer Baird,4227834176859693,Sun5521,12.338062924120912
163,13.81,2.0,Male,No,Sun,Dinner,2,6.9,Charles Newton,5552793481414044,Sun8594,14.482259232440258
164,17.51,3.0,Female,Yes,Sun,Dinner,2,8.76,Audrey Griffin,3500853929693258,Sun444,17.133066818960593
165,24.52,3.48,Male,No,Sun,Dinner,3,8.17,Jacob Hansen,4031116007387,Sun9043,14.192495921696574
166,20.76,2.24,Male,No,Sun,Dinner,2,10.38,Gordon Lane,4110599849536479,Sun6738,10.789980732177264
167,31.71,4.5,Male,No,Sun,Dinner,4,7.93,Michael Lawson,3566285921227119,Sun3719,14.191106906338694
168,10.59,1.61,Female,Yes,Sat,Dinner,2,5.3,Sara Jimenez,502053147208,Sat9795,15.203021718602455
169,10.63,2.0,Female,Yes,Sat,Dinner,2,5.32,Amy Hill,3536332481454019,Sat1788,18.814675446848543
170,50.81,10.0,Male,Yes,Sat,Dinner,3,16.94,Gregory Clark,5473850968388236,Sat1954,19.681165124975397
171,15.81,3.16,Male,Yes,Sat,Dinner,2,7.9,David Hall,502004138207,Sat6750,19.987349778621127
172,7.25,5.15,Male,Yes,Sun,Dinner,2,3.62,Larry White,30432617123103,Sun9209,71.0344827586207
173,31.85,3.18,Male,Yes,Sun,Dinner,2,15.92,Scott Perez,3577115550328507,Sun9335,9.98430141287284
174,16.82,4.0,Male,Yes,Sun,Dinner,2,8.41,Brian Miles,3586342145399277,Sun7621,23.781212841854934
175,32.9,3.11,Male,Yes,Sun,Dinner,2,16.45,Nathan Reynolds,370307040837149,Sun5109,9.45288753799392
176,17.89,2.0,Male,Yes,Sun,Dinner,2,8.94,Walter Simmons,6011481578696110,Sun5961,11.179429849077696
177,14.48,2.0,Male,Yes,Sun,Dinner,2,7.24,John Dudley,4565183162071073,Sun6203,13.812154696132598
178,9.6,4.0,Female,Yes,Sun,Dinner,2,4.8,Melanie Gray,4211808859168,Sun4598,41.66666666666667
179,34.63,3.55,Male,Yes,Sun,Dinner,2,17.32,Brian Bailey,346656312114848,Sun9851,10.2512272596015
180,34.65,3.68,Male,Yes,Sun,Dinner,4,8.66,James Hebert DDS,676168737648,Sun7544,10.620490620490623
181,23.33,5.65,Male,Yes,Sun,Dinner,2,11.66,Jason Cox,6556931703586223,Sun3402,24.21774539219889
182,45.35,3.5,Male,Yes,Sun,Dinner,3,15.12,Jose Parsons,4112207559459910,Sun2337,7.717750826901875
183,23.17,6.5,Male,Yes,Sun,Dinner,4,5.79,Dr. Michael James,4718501859162,Sun6059,28.05351747949935
184,40.55,3.0,Male,Yes,Sun,Dinner,2,20.27,Stephen Cox,3547798222044029,Sun5140,7.398273736128237
185,20.69,5.0,Male,No,Sun,Dinner,5,4.14,Joseph Howell,30362407455623,Sun5842,24.166263895601737
186,20.9,3.5,Female,Yes,Sun,Dinner,3,6.97,Heidi Atkinson,4422858423131187,Sun4254,16.74641148325359
187,30.46,2.0,Male,Yes,Sun,Dinner,5,6.09,David Barrett,4792882899700988,Sun9987,6.5659881812212735
188,18.15,3.5,Female,Yes,Sun,Dinner,3,6.05,Glenda Wiggins,578329325307,Sun430,19.28374655647383
189,23.1,4.0,Male,Yes,Sun,Dinner,3,7.7,Richard Stevens,3560193117506187,Sun1821,17.316017316017316
190,15.69,1.5,Male,Yes,Sun,Dinner,2,7.84,Riley Barnes,180053549128800,Sun5104,9.560229445506693
191,19.81,4.19,Female,Yes,Thur,Lunch,2,9.9,Kristy Boyd,4317015327600068,Thur967,21.150933871781934
192,28.44,2.56,Male,Yes,Thur,Lunch,2,14.22,Dr. Jeffrey Rich,4737538358295,Thur4334,9.0014064697609
193,15.48,2.02,Male,Yes,Thur,Lunch,2,7.74,Raymond Sullivan,180068856139315,Thur606,13.049095607235142
194,16.58,4.0,Male,Yes,Thur,Lunch,2,8.29,Benjamin Weber,676210011505,Thur9318,24.12545235223161
195,7.56,1.44,Male,No,Thur,Lunch,2,3.78,Michael White,4865390263095532,Thur697,19.047619047619047
196,10.34,2.0,Male,Yes,Thur,Lunch,2,5.17,Eric Martin,30442491190342,Thur9862,19.342359767891683
197,43.11,5.0,Female,Yes,Thur,Lunch,4,10.78,Brooke Soto,5544902205760175,Thur9313,11.59823706796567
198,13.0,2.0,Female,Yes,Thur,Lunch,2,6.5,Katherine Bond,4926725945192,Thur437,15.384615384615385
199,13.51,2.0,Male,Yes,Thur,Lunch,2,6.76,Joseph Murphy MD,6547218923471275,Thur2428,14.803849000740193
200,18.71,4.0,Male,Yes,Thur,Lunch,3,6.24,Jason Conrad,4581233003487,Thur6048,21.378941742383752
201,12.74,2.01,Female,Yes,Thur,Lunch,2,6.37,Abigail Parks,3586645396220590,Thur2544,15.777080062794347
202,13.0,2.0,Female,Yes,Thur,Lunch,2,6.5,Ashley Shaw,180088043008041,Thur1301,15.384615384615385
203,16.4,2.5,Female,Yes,Thur,Lunch,2,8.2,Toni Brooks,3582289985920239,Thur7770,15.243902439024392
204,20.53,4.0,Male,Yes,Thur,Lunch,4,5.13,Scott Kim,3570611756827620,Thur2160,19.48368241597662
205,16.47,3.23,Female,Yes,Thur,Lunch,3,5.49,Carly Reyes,4787787236486,Thur8084,19.611414693381906
206,26.59,3.41,Male,Yes,Sat,Dinner,3,8.86,Daniel Owens,38971087967574,Sat1,12.82437006393381
207,38.73,3.0,Male,Yes,Sat,Dinner,4,9.68,Ricky Ramirez,347817964484033,Sat4505,7.74593338497289
208,24.27,2.03,Male,Yes,Sat,Dinner,2,12.14,Jason Carter,4268942915626180,Sat6048,8.364235681911826
209,12.76,2.23,Female,Yes,Sat,Dinner,2,6.38,Sarah Cunningham,341876516331163,Sat1274,17.476489028213166
210,30.06,2.0,Male,Yes,Sat,Dinner,3,10.02,Shawn Mendoza,30184049218122,Sat8361,6.653359946773121
211,25.89,5.16,Male,Yes,Sat,Dinner,4,6.47,Christopher Li,6011962464150569,Sat6735,19.930475086906142
212,48.33,9.0,Male,No,Sat,Dinner,4,12.08,Alex Williamson,676218815212,Sat4590,18.6219739292365
213,13.27,2.5,Female,Yes,Sat,Dinner,2,6.64,Robin Andersen,580140531089,Sat1374,18.839487565938207
214,28.17,6.5,Female,Yes,Sat,Dinner,3,9.39,Marissa Jackson,4922302538691962,Sat3374,23.074192403265883
215,12.9,1.1,Female,Yes,Sat,Dinner,2,6.45,Jessica Owen,4726904879471,Sat6983,8.527131782945736
216,28.15,3.0,Male,Yes,Sat,Dinner,5,5.63,Shawn Barnett PhD,4590982568244,Sat7320,10.657193605683837
217,11.59,1.5,Male,Yes,Sat,Dinner,2,5.8,Gary Orr,30324521283406,Sat8489,12.94219154443486
218,7.74,1.44,Male,Yes,Sat,Dinner,2,3.87,Nicholas Archer,340517153733524,Sat4772,18.6046511627907
219,30.14,3.09,Female,Yes,Sat,Dinner,4,7.54,Shelby House,502097403252,Sat8863,10.252156602521566
220,12.16,2.2,Male,Yes,Fri,Lunch,2,6.08,Ricky Johnson,213109508670736,Fri4607,18.092105263157894
221,13.42,3.48,Female,Yes,Fri,Lunch,2,6.71,Leslie Kaufman,379437981958785,Fri7511,25.93144560357675
222,8.58,1.92,Male,Yes,Fri,Lunch,1,8.58,Jason Lawrence,3505302934650403,Fri6624,22.377622377622377
223,15.98,3.0,Female,No,Fri,Lunch,3,5.33,Mary Rivera,5343428579353069,Fri6014,18.773466833541928
224,13.42,1.58,Male,Yes,Fri,Lunch,2,6.71,Ronald Vaughn DVM,341503466406403,Fri5959,11.773472429210134
225,16.27,2.5,Female,Yes,Fri,Lunch,2,8.14,Whitney Arnold,3579111947217428,Fri6665,15.365703749231715
226,10.09,2.0,Female,Yes,Fri,Lunch,2,5.04,Ruth Weiss,5268689490381635,Fri6359,19.821605550049554
227,20.45,3.0,Male,No,Sat,Dinner,4,5.11,Robert Bradley,213141668145910,Sat4319,14.66992665036675
228,13.28,2.72,Male,No,Sat,Dinner,2,6.64,Glenn Jones,502061651712,Sat2937,20.481927710843376
229,22.12,2.88,Female,Yes,Sat,Dinner,2,11.06,Jennifer Russell,4793003293608,Sat3943,13.019891500904157
230,24.01,2.0,Male,Yes,Sat,Dinner,4,6.0,Michael Osborne,4258682154026,Sat7872,8.329862557267804
231,15.69,3.0,Male,Yes,Sat,Dinner,3,5.23,Jason Parks,4812333796161,Sat6334,19.120458891013385
232,11.61,3.39,Male,No,Sat,Dinner,2,5.8,James Taylor,6011482917327995,Sat2124,29.198966408268735
233,10.77,1.47,Male,No,Sat,Dinner,2,5.38,Paul Novak,6011698897610858,Sat1467,13.649025069637883
